Model,Test_RMSE,Test_MAE,Test_R2,Overfitting,CV_RMSE,CV_Std
RandomForest,575.8213593792847,423.6191462531538,0.9927447165989057,0.0032701662244817298,619.897750307741,77.16596605323267
GradientBoosting,586.6682577474201,438.2405618768288,0.992468802753539,0.0018431697810235015,578.0235898414579,30.024150474010256
XGBoost,589.9120242700018,441.608265093545,0.992385290540291,0.0018294109890157895,579.0335764481745,32.11368559012533
Ridge,866.3351692693493,639.2632066867305,0.9835770666414463,0.001842846496714401,930.7842957952847,104.67216995927208
