Model,Test_RMSE,Test_MAE,Test_R2,Overfitting,CV_RMSE,CV_Std
XGBoost,1922.9497513180816,1354.4305898112952,0.9273637521115015,0.028612961650484436,2051.7113245942846,128.6843076612577
RandomForest,1997.129801484001,1410.315669862971,0.9216516030285038,0.05977049123607858,2105.9122492876354,171.72588004325115
Ridge,3416.383194885848,2688.7449577202156,0.7707281769422948,0.02124751194390284,4112.430418343555,647.0088843407189
