Model,Test_RMSE,Test_R2,Overfitting,CV_RMSE
GradientBoosting,1667.3105011080697,0.9453927254549112,0.028378494490128747,1854.2378552662321
XGBoost,1935.7620483540113,0.9263926008643995,0.0302169186243888,2072.7714068991177
RandomForest,1983.5354025256586,0.9227146028562117,0.05708266820651697,2054.2775565054876
Ridge,3156.6701365811746,0.8042616451566474,0.04708623440270221,3398.9939989855166
