date,predicted_daily,actual_daily
2025-01-01,3418143.603067388,3013731.878
2025-01-02,3557111.0549913067,3404135.954
2025-01-03,3694858.045514107,3461485.897
2025-01-04,3302504.4689682103,3260406.578
2025-01-05,3112965.45731107,3061128.57
2025-01-06,4075091.841634602,3599595.644
2025-01-07,4171672.594517258,3642482.665
