datetime,true,predicted,residual,abs_error
2024-01-01 00:00:00+00:00,26027.831,24934.481928682264,1093.3490713177343,1093.3490713177343
2024-01-01 00:15:00+00:00,25773.017,24812.138757102275,960.8782428977247,960.8782428977247
2024-01-01 00:30:00+00:00,25723.003,24663.090608680843,1059.912391319158,1059.912391319158
2024-01-01 00:45:00+00:00,25428.687,24491.02213063677,937.6648693632305,937.6648693632305
2024-01-01 01:00:00+00:00,25287.067,24747.327599192195,539.7394008078045,539.7394008078045
2024-01-01 01:15:00+00:00,25155.541,24747.327599192195,408.21340080780647,408.21340080780647
2024-01-01 01:30:00+00:00,24805.918,24747.327599192195,58.59040080780687,58.59040080780687
2024-01-01 01:45:00+00:00,24762.564,24751.36688791361,11.197112086389097,11.197112086389097
2024-01-01 02:00:00+00:00,24527.185,25316.518784445576,-789.3337844455746,789.3337844455746
2024-01-01 02:15:00+00:00,24315.279,25316.518784445576,-1001.2397844455772,1001.2397844455772
2024-01-01 02:30:00+00:00,24004.852,25316.518784445576,-1311.666784445577,1311.666784445577
2024-01-01 02:45:00+00:00,24127.582,25316.518784445576,-1188.9367844455774,1188.9367844455774
2024-01-01 03:00:00+00:00,24021.82,27784.535335517223,-3762.715335517223,3762.715335517223
2024-01-01 03:15:00+00:00,24193.317,27784.535335517223,-3591.2183355172237,3591.2183355172237
2024-01-01 03:30:00+00:00,24190.691,27784.535335517223,-3593.844335517224,3593.844335517224
2024-01-01 03:45:00+00:00,23997.602,27784.535335517223,-3786.933335517224,3786.933335517224
2024-01-01 04:00:00+00:00,24493.682,32707.64165373284,-8213.95965373284,8213.95965373284
2024-01-01 04:15:00+00:00,24699.043,32707.64165373284,-8008.598653732839,8008.598653732839
2024-01-01 04:30:00+00:00,24973.394,32671.60805952522,-7698.21405952522,7698.21405952522
2024-01-01 04:45:00+00:00,25080.317,32707.64165373284,-7627.324653732841,7627.324653732841
2024-01-01 05:00:00+00:00,25616.972,36975.13695929992,-11358.164959299917,11358.164959299917
2024-01-01 05:15:00+00:00,25705.114,37155.42667222837,-11450.31267222837,11450.31267222837
2024-01-01 05:30:00+00:00,25995.524,37195.43255820037,-11199.908558200372,11199.908558200372
2024-01-01 05:45:00+00:00,26106.426,37698.32228256428,-11591.896282564281,11591.896282564281
2024-01-01 06:00:00+00:00,26687.678,38108.01437380039,-11420.33637380039,11420.33637380039
2024-01-01 06:15:00+00:00,26864.141,38472.544599332716,-11608.403599332716,11608.403599332716
2024-01-01 06:30:00+00:00,27094.18,38680.72750228942,-11586.547502289417,11586.547502289417
2024-01-01 06:45:00+00:00,27309.426,39148.492538147286,-11839.066538147286,11839.066538147286
2024-01-01 07:00:00+00:00,27570.171,39517.20904477765,-11947.038044777652,11947.038044777652
2024-01-01 07:15:00+00:00,27271.901,39517.20904477765,-12245.308044777648,12245.308044777648
2024-01-01 07:30:00+00:00,27592.721,42638.89026192871,-15046.16926192871,15046.16926192871
2024-01-01 07:45:00+00:00,27731.776,43366.68760431632,-15634.91160431632,15634.91160431632
2024-01-01 08:00:00+00:00,27874.94,42899.13753656715,-15024.19753656715,15024.19753656715
2024-01-01 08:15:00+00:00,27954.494,43848.50154317841,-15894.007543178413,15894.007543178413
2024-01-01 08:30:00+00:00,28166.593,44517.52408221598,-16350.931082215982,16350.931082215982
2024-01-01 08:45:00+00:00,28408.781,45060.21444739909,-16651.433447399093,16651.433447399093
2024-01-01 09:00:00+00:00,28387.948,43460.60394645253,-15072.65594645253,15072.65594645253
2024-01-01 09:15:00+00:00,28392.989,44571.68313550448,-16178.694135504476,16178.694135504476
2024-01-01 09:30:00+00:00,28819.815,42380.71434591663,-13560.899345916634,13560.899345916634
2024-01-01 09:45:00+00:00,28999.277,43556.39797681297,-14557.120976812974,14557.120976812974
2024-01-01 10:00:00+00:00,29277.365,43113.79037698687,-13836.42537698687,13836.42537698687
2024-01-01 10:15:00+00:00,29303.308,44113.389031970546,-14810.081031970545,14810.081031970545
2024-01-01 10:30:00+00:00,30366.776,45319.852624175626,-14953.076624175625,14953.076624175625
2024-01-01 10:45:00+00:00,30698.462,46387.883674626384,-15689.421674626385,15689.421674626385
2024-01-01 11:00:00+00:00,30793.197,44109.801412701825,-13316.604412701825,13316.604412701825
2024-01-01 11:15:00+00:00,30821.132,44648.958818857645,-13827.826818857644,13827.826818857644
2024-01-01 11:30:00+00:00,31076.746,45251.17213846715,-14174.426138467148,14174.426138467148
2024-01-01 11:45:00+00:00,30979.007,45069.294942458255,-14090.287942458253,14090.287942458253
2024-01-01 12:00:00+00:00,30933.205,43907.45284368514,-12974.247843685138,12974.247843685138
2024-01-01 12:15:00+00:00,30991.234,43907.45284368514,-12916.21884368514,12916.21884368514
2024-01-01 12:30:00+00:00,30796.441,44905.51358175333,-14109.072581753331,14109.072581753331
2024-01-01 12:45:00+00:00,30551.01,44364.88208308496,-13813.87208308496,13813.87208308496
2024-01-01 13:00:00+00:00,30430.664,44067.01929569857,-13636.35529569857,13636.35529569857
2024-01-01 13:15:00+00:00,30256.159,44067.01929569857,-13810.86029569857,13810.86029569857
2024-01-01 13:30:00+00:00,30057.727,44067.01929569857,-14009.292295698571,14009.292295698571
2024-01-01 13:45:00+00:00,30406.544,43815.24502492001,-13408.70102492001,13408.70102492001
2024-01-01 14:00:00+00:00,30485.698,44045.63723663186,-13559.93923663186,13559.93923663186
2024-01-01 14:15:00+00:00,30119.693,43887.07221874908,-13767.379218749084,13767.379218749084
2024-01-01 14:30:00+00:00,30040.081,43908.45427781579,-13868.373277815794,13868.373277815794
2024-01-01 14:45:00+00:00,30294.252,44067.01929569857,-13772.76729569857,13772.76729569857
2024-01-01 15:00:00+00:00,30650.83,43959.05499626172,-13308.22499626172,13308.22499626172
2024-01-01 15:15:00+00:00,30969.077,43989.26750043402,-13020.190500434019,13020.190500434019
2024-01-01 15:30:00+00:00,31509.293,44391.17553813549,-12881.882538135487,12881.882538135487
2024-01-01 15:45:00+00:00,32180.425,45297.645553755625,-13117.220553755626,13117.220553755626
2024-01-01 16:00:00+00:00,33063.761,44198.06540572174,-11134.304405721741,11134.304405721741
2024-01-01 16:15:00+00:00,33733.084,43556.33293059216,-9823.248930592155,9823.248930592155
2024-01-01 16:30:00+00:00,34008.306,44084.055049143564,-10075.749049143567,10075.749049143567
2024-01-01 16:45:00+00:00,34329.471,43311.81062066767,-8982.33962066767,8982.33962066767
2024-01-01 17:00:00+00:00,34365.737,40777.00144141981,-6411.264441419808,6411.264441419808
2024-01-01 17:15:00+00:00,34271.332,40777.00144141981,-6505.669441419806,6505.669441419806
2024-01-01 17:30:00+00:00,34352.617,39763.92716386151,-5411.310163861512,5411.310163861512
2024-01-01 17:45:00+00:00,33958.139,39746.186903631366,-5788.047903631363,5788.047903631363
2024-01-01 18:00:00+00:00,33582.59,37462.39747596095,-3879.8074759609517,3879.8074759609517
2024-01-01 18:15:00+00:00,33115.667,37080.45886243372,-3964.791862433718,3964.791862433718
2024-01-01 18:30:00+00:00,32790.973,37018.30372644358,-4227.330726443579,4227.330726443579
2024-01-01 18:45:00+00:00,32614.525,37000.15861657469,-4385.633616574691,4385.633616574691
2024-01-01 19:00:00+00:00,32407.424,33643.95037397618,-1236.5263739761795,1236.5263739761795
2024-01-01 19:15:00+00:00,32196.642,33414.52339618005,-1217.881396180048,1217.881396180048
2024-01-01 19:30:00+00:00,31399.344,33322.79793741148,-1923.4539374114793,1923.4539374114793
2024-01-01 19:45:00+00:00,30824.012,33284.026414651125,-2460.0144146511266,2460.0144146511266
2024-01-01 20:00:00+00:00,30258.479,30635.95833007929,-377.4793300792917,377.4793300792917
2024-01-01 20:15:00+00:00,29874.307,30551.722100457773,-677.4151004577725,677.4151004577725
2024-01-01 20:30:00+00:00,29475.883,30371.55775662519,-895.674756625187,895.674756625187
2024-01-01 20:45:00+00:00,29030.448,30013.272584485923,-982.824584485923,982.824584485923
2024-01-01 21:00:00+00:00,28750.246,28940.019191979907,-189.773191979908,189.773191979908
2024-01-01 21:15:00+00:00,28246.491,28882.334341441056,-635.8433414410538,635.8433414410538
2024-01-01 21:30:00+00:00,28485.021,28862.21615097518,-377.19515097517797,377.19515097517797
2024-01-01 21:45:00+00:00,28085.146,28739.235891450633,-654.0898914506324,654.0898914506324
2024-01-01 22:00:00+00:00,27351.871,28343.804497013945,-991.9334970139462,991.9334970139462
2024-01-01 22:15:00+00:00,26836.281,28311.350883235064,-1475.0698832350645,1475.0698832350645
2024-01-01 22:30:00+00:00,26233.167,28330.710209635414,-2097.5432096354125,2097.5432096354125
2024-01-01 22:45:00+00:00,25963.065,28328.644930519553,-2365.579930519554,2365.579930519554
2024-01-01 23:00:00+00:00,25702.03,27001.17676945914,-1299.146769459141,1299.146769459141
2024-01-01 23:15:00+00:00,25354.711,27102.195404255548,-1747.4844042555487,1747.4844042555487
2024-01-01 23:30:00+00:00,25238.153,27001.17676945914,-1763.0237694591415,1763.0237694591415
2024-01-01 23:45:00+00:00,24868.394,26759.861059549155,-1891.4670595491552,1891.4670595491552
2024-01-02 00:00:00+00:00,24945.346,26869.730525138217,-1924.3845251382154,1924.3845251382154
2024-01-02 00:15:00+00:00,25823.921,26635.87312833156,-811.9521283315626,811.9521283315626
2024-01-02 00:30:00+00:00,25545.6,26572.19469283577,-1026.5946928357698,1026.5946928357698
2024-01-02 00:45:00+00:00,24906.243,26398.634556728128,-1492.3915567281292,1492.3915567281292
2024-01-02 01:00:00+00:00,24628.053,26204.429322321128,-1576.376322321128,1576.376322321128
2024-01-02 01:15:00+00:00,23905.095,26099.66163439794,-2194.566634397939,2194.566634397939
2024-01-02 01:30:00+00:00,23742.274,25882.847005163054,-2140.5730051630526,2140.5730051630526
2024-01-02 01:45:00+00:00,23498.901,25882.847005163054,-2383.946005163052,2383.946005163052
2024-01-02 02:00:00+00:00,23596.54,25848.194074446244,-2251.6540744462436,2251.6540744462436
2024-01-02 02:15:00+00:00,23446.026,25866.811103004402,-2420.7851030044003,2420.7851030044003
2024-01-02 02:30:00+00:00,23487.299,25647.604053995194,-2160.3050539951946,2160.3050539951946
2024-01-02 02:45:00+00:00,23582.553,25725.896811739804,-2143.3438117398036,2143.3438117398036
2024-01-02 03:00:00+00:00,23686.574,27664.831012990435,-3978.2570129904343,3978.2570129904343
2024-01-02 03:15:00+00:00,24053.099,27724.506742176887,-3671.407742176889,3671.407742176889
2024-01-02 03:30:00+00:00,24141.732,27724.506742176887,-3582.7747421768872,3582.7747421768872
2024-01-02 03:45:00+00:00,24197.77,27664.831012990435,-3467.0610129904344,3467.0610129904344
2024-01-02 04:00:00+00:00,25330.703,31565.53983290955,-6234.83683290955,6234.83683290955
2024-01-02 04:15:00+00:00,25716.508,31644.096156613985,-5927.588156613983,5927.588156613983
2024-01-02 04:30:00+00:00,26724.448,31816.440656630763,-5091.992656630762,5091.992656630762
2024-01-02 04:45:00+00:00,27621.432,31780.407062423154,-4158.975062423153,4158.975062423153
2024-01-02 05:00:00+00:00,28925.144,34867.602578694285,-5942.458578694284,5942.458578694284
2024-01-02 05:15:00+00:00,29805.809,34931.248425975544,-5125.439425975543,5125.439425975543
2024-01-02 05:30:00+00:00,31090.554,35384.545464896895,-4293.991464896895,4293.991464896895
2024-01-02 05:45:00+00:00,32071.453,35384.545464896895,-3313.092464896894,3313.092464896894
2024-01-02 06:00:00+00:00,33468.401,36327.8950788489,-2859.494078848904,2859.494078848904
2024-01-02 06:15:00+00:00,34409.184,36327.8950788489,-1918.7110788489008,1918.7110788489008
2024-01-02 06:30:00+00:00,35609.983,36908.766061378716,-1298.7830613787155,1298.7830613787155
2024-01-02 06:45:00+00:00,36112.121,37309.84076662426,-1197.7197666242573,1197.7197666242573
2024-01-02 07:00:00+00:00,37077.807,37178.04087304109,-100.23387304109201,100.23387304109201
2024-01-02 07:15:00+00:00,37716.98,36924.37896961912,792.6010303808798,792.6010303808798
2024-01-02 07:30:00+00:00,37760.501,37269.29526122298,491.20573877701827,491.20573877701827
2024-01-02 07:45:00+00:00,38647.451,37269.29526122298,1378.1557387770226,1378.1557387770226
2024-01-02 08:00:00+00:00,39190.414,39883.610760359225,-693.1967603592275,693.1967603592275
2024-01-02 08:15:00+00:00,39276.541,40335.80847312006,-1059.2674731200605,1059.2674731200605
2024-01-02 08:30:00+00:00,39853.871,40335.80847312006,-481.9374731200587,481.9374731200587
