feature,importance
Lag_15min,0.22160811241441142
Stunde (Lokal),0.17386617658717052
Lag_30min,0.12669533051691342
Lag_1h,0.1015154026659171
Grundversorgte Kunden_Lag_15min,0.08902835560208174
Lag_24h,0.061268212595118464
IstSonntag,0.0541850145086594
Globalstrahlung; Zehnminutenmittel_lag15,0.04607707361534879
Freie Kunden_Lag_15min,0.04484010550876224
Diffusstrahlung; Zehnminutenmittel_lag15,0.04196249661302454
IstArbeitstag,0.009754143830918624
Lufttemperatur Bodenoberfläche_lag15,0.005602157494165719
Lufttemperatur 2 m ü. Boden_lag15,0.005151562089958952
Chilltemperatur_lag15,0.005150470092740954
Lufttemperatur 2 m ü. Gras_lag15,0.004760295147762084
relative Luftfeuchtigkeit_lag15,0.0037239749476137727
Sonnenscheindauer; Zehnminutensumme_lag15,0.0026698835149264674
Böenspitze (Sekundenböe)_lag15,0.002141232254505843
