datetime,predicted_consumption,day,hour,weekday,confidence_interval,lower_bound,upper_bound
2025-09-29 22:00:00+00:00,28371.29138180521,2025-09-29,22,Monday,1762.2627467394495,26609.028635065763,30133.55412854466
2025-09-29 22:15:00+00:00,28072.999708008076,2025-09-29,22,Monday,1798.2347844246763,26274.7649235834,29871.23449243275
2025-09-29 22:30:00+00:00,27743.423630146423,2025-09-29,22,Monday,1813.1348903000933,25930.288739846328,29556.558520446517
2025-09-29 22:45:00+00:00,27743.423630146423,2025-09-29,22,Monday,1824.5681436620441,25918.85548648438,29567.991773808466
2025-09-29 23:00:00+00:00,27408.9014000421,2025-09-29,23,Monday,1834.206822109903,25574.694577932198,29243.108222152005
2025-09-29 23:15:00+00:00,27369.56283612252,2025-09-29,23,Monday,1842.6986682928004,25526.86416782972,29212.26150441532
2025-09-29 23:30:00+00:00,27369.56283612252,2025-09-29,23,Monday,1850.3758840764222,25519.186952046097,29219.938720198945
2025-09-29 23:45:00+00:00,27264.645281321256,2025-09-29,23,Monday,1857.4358126068028,25407.209468714453,29122.08109392806
2025-09-30 00:00:00+00:00,25746.293990539652,2025-09-30,0,Tuesday,1864.0070338607363,23882.286956678916,27610.30102440039
2025-09-30 00:15:00+00:00,25720.315193672108,2025-09-30,0,Tuesday,1870.1788597951293,23850.136333876977,27590.49405346724
2025-09-30 00:30:00+00:00,25720.315193672108,2025-09-30,0,Tuesday,1876.0163179021768,23844.29887576993,27596.331511574284
2025-09-30 00:45:00+00:00,25720.315193672108,2025-09-30,0,Tuesday,1881.5684986858707,23838.746694986236,27601.88369235798
2025-09-30 01:00:00+00:00,25720.315193672108,2025-09-30,1,Tuesday,1886.8735405846394,23833.44165308747,27607.188734256746
2025-09-30 01:15:00+00:00,25720.315193672108,2025-09-30,1,Tuesday,1891.961773096457,23828.35342057565,27612.276966768564
2025-09-30 01:30:00+00:00,25746.293990539652,2025-09-30,1,Tuesday,1896.8577872616884,23849.436203277965,27643.15177780134
2025-09-30 01:45:00+00:00,25720.315193672108,2025-09-30,1,Tuesday,1901.5818496234779,23818.73334404863,27621.897043295587
2025-09-30 02:00:00+00:00,25614.735603727935,2025-09-30,2,Tuesday,1906.150897480356,23708.58470624758,27520.88650120829
2025-09-30 02:15:00+00:00,25794.988458912114,2025-09-30,2,Tuesday,1910.5792576843378,23884.409201227776,27705.56771659645
2025-09-30 02:30:00+00:00,25937.94991419698,2025-09-30,2,Tuesday,1914.87917742138,24023.0707367756,27852.829091618358
2025-09-30 02:45:00+00:00,26187.41970902367,2025-09-30,2,Tuesday,1919.061223802589,24268.35848522108,28106.48093282626
2025-09-30 03:00:00+00:00,27453.04489270231,2025-09-30,3,Tuesday,1923.1345898461514,25529.91030285616,29376.17948254846
2025-09-30 03:15:00+00:00,27644.00715509781,2025-09-30,3,Tuesday,1927.1073323338046,25716.899822764004,29571.114487431616
2025-09-30 03:30:00+00:00,28598.48923607972,2025-09-30,3,Tuesday,1930.986559211199,26667.50267686852,30529.47579529092
2025-09-30 03:45:00+00:00,29376.015051065035,2025-09-30,3,Tuesday,1934.7785790280523,27441.23647203698,31310.79363009309
2025-09-30 04:00:00+00:00,33177.35422186335,2025-09-30,4,Tuesday,1938.4890214133945,31238.865200449956,35115.843243276744
2025-09-30 04:15:00+00:00,34091.39178640872,2025-09-30,4,Tuesday,1942.1229351655825,32149.268851243138,36033.514721574305
2025-09-30 04:30:00+00:00,35139.09590815513,2025-09-30,4,Tuesday,1945.6848688401149,33193.41103931501,37084.78077699524
2025-09-30 04:45:00+00:00,35759.22470955817,2025-09-30,4,Tuesday,1949.178937507234,33810.04577205094,37708.4036470654
2025-09-30 05:00:00+00:00,42046.18745478009,2025-09-30,5,Tuesday,1952.608878474156,40093.57857630593,43998.79633325425
2025-09-30 05:15:00+00:00,42951.51549663285,2025-09-30,5,Tuesday,1955.9780981228478,40995.53739851,44907.493594755695
2025-09-30 05:30:00+00:00,43541.7461005761,2025-09-30,5,Tuesday,1959.289711535695,41582.4563890404,45501.0358121118
2025-09-30 05:45:00+00:00,44224.25838392517,2025-09-30,5,Tuesday,1962.5465762216327,42261.711807703534,46186.8049601468
2025-09-30 06:00:00+00:00,45095.86128565125,2025-09-30,6,Tuesday,1965.7513209820238,43130.109964669224,47061.61260663327
2025-09-30 06:15:00+00:00,45404.281130694675,2025-09-30,6,Tuesday,1968.9063707458606,43435.37475994881,47373.18750144054
2025-09-30 06:30:00+00:00,45492.87574543728,2025-09-30,6,Tuesday,1972.013968041568,43520.861777395716,47464.88971347885
2025-09-30 06:45:00+00:00,45492.87574543728,2025-09-30,6,Tuesday,1975.0761916459162,43517.79955379137,47467.9519370832
2025-09-30 07:00:00+00:00,45167.549822285386,2025-09-30,7,Tuesday,1978.0949728508092,43189.45484943458,47145.64479513619
2025-09-30 07:15:00+00:00,45167.549822285386,2025-09-30,7,Tuesday,1981.0721097096211,43186.47771257577,47148.621931995
