Model,Test_RMSE,Test_MAE,Test_R2,CV_RMSE,CV_Std
RandomForest,372.982482163914,266.72762908043603,0.9969559224657336,399.72286943578786,54.8841678407028
GradientBoosting,375.265396134119,270.40594347161147,0.9969185446533202,371.23852227286835,19.048573913716055
XGBoost,386.6483796866514,280.8348249813935,0.9967287688779194,391.39529763056595,26.58379703732851
Ridge,392.3213324109301,277.09210998886505,0.9966320728629232,399.51002103534563,39.34333687129105
