Model,Test_RMSE,Test_MAE,Test_R2,Overfitting,CV_RMSE,CV_Std
RandomForest,2200.186099078216,1532.636211083073,0.8941041875982327,0.05025014972688158,2307.86391925304,152.75305301687345
XGBoost,2223.343065040311,1557.5991435968103,0.8918633493652588,0.021943354641267176,2274.257904238001,138.91365883459727
GradientBoosting,2228.087336500183,1561.2856405057685,0.8914013630919512,0.02293857242900088,2275.1395802584893,140.73999732802247
Ridge,2974.570822193343,2087.9520406089036,0.8064431343526687,0.026095546075044163,3219.9587858645327,336.96885681360646
