Model,Test_RMSE,Test_MAE,Test_R2,Overfitting,CV_RMSE,CV_Std
GradientBoosting,350.2162997341749,250.016990602566,0.9973161913361838,0.0007467748221914317,348.69191744862525,18.682303898915265
XGBoost,357.4872214618889,258.4060998416777,0.9972035961907497,0.0007202367059708781,361.1633082373195,23.35112846577885
RandomForest,405.0438862557026,294.56232485961897,0.9964100946117337,0.0020210089861892877,502.46905993611307,165.44958282036035
Ridge,973.1964783591059,324.4237663002393,0.9792756986957052,0.018160277908183975,394.77866837808955,18.98040243458076
