Model,Test_RMSE,Test_MAE,Test_R2,Overfitting,CV_RMSE,CV_Std
RandomForest,2589.0301208705364,1761.8414602743876,0.8533661762676957,0.07036437727048184,2687.8119550496017,234.81142794600237
GradientBoosting,2697.6501847985123,1837.2196397145108,0.8408043420864462,0.043000753474720876,2654.796155763509,171.69292693327247
XGBoost,2705.276020271164,1852.3662200494355,0.8399030274563675,0.04149404288268377,2673.395588488437,174.22179040556813
Ridge,3574.6311003394753,2618.0260796680654,0.7204738694585828,0.02948312697162425,4205.665774496262,1028.9894573240344
