Model,Test_RMSE,Test_MAE,Test_R2,Overfitting,CV_RMSE,CV_Std
GradientBoosting,3139.156661389259,2296.395131273981,0.8064275662648785,0.026222921707798608,3524.1548114643547,288.27035348191055
XGBoost,3230.0889121604223,2454.440889467021,0.79505067871927,0.028576319803112926,3601.368463931109,269.69676337109195
RandomForest,3403.746279773025,2631.4024358405472,0.7724211545662798,0.04274514300846233,3738.3703315631037,232.44889445600575
Ridge,3445.156476294138,2672.8077102283796,0.7668499921205472,0.02146693587407722,3926.0420030767955,308.216192382276
