date,predicted_daily,actual_daily
2025-01-01,3879117.4612364564,3013731.878
2025-01-02,3955033.303774375,3404135.954
2025-01-03,3975650.385488851,3461485.897
2025-01-04,3521098.803330951,3260406.578
2025-01-05,3278271.483058437,3061128.57
2025-01-06,3963758.7185440236,3599595.644
2025-01-07,3983758.3046854655,3613188.771
