Model,Test_RMSE,Test_MAE,Test_R2,Overfitting,CV_RMSE,CV_Std
RandomForest,584.5078307594613,427.6330489176894,0.9925241684326256,0.004068295771062824,653.4667127881874,125.15419173008574
GradientBoosting,605.9519358951644,446.5425830375296,0.9919655677134633,0.002260450116961632,619.6517731037635,42.30148818560901
XGBoost,613.9009907952653,453.7283166385527,0.9917533890012191,0.002311276092407666,631.2234922863938,50.15303157254775
Ridge,1916.3561638035246,712.6986317658184,0.9196415971992162,0.06778753093495549,966.0817161339,153.21845339573048
