date,predicted,actual_consumption,error,abs_error,pct_error
2025-09-30,3538544.279302472,,,,
2025-10-01,3540829.9912333908,3316220.011,-224609.98023339082,224609.98023339082,-6.773072338034053
2025-10-02,3499463.4465317843,3305564.4,-193899.04653178435,193899.04653178435,-5.86583781371146
2025-10-03,3054893.7522765347,3324560.053,269666.30072346516,269666.30072346516,8.111337934176435
2025-10-04,2807913.1067525726,2977726.726,169813.6192474272,169813.6192474272,5.702793938903151
2025-10-05,3341619.232884406,2780076.117,-561543.115884406,561543.115884406,-20.198839609124487
2025-10-06,3537324.303297289,3333668.894,-203655.40929728933,203655.40929728933,-6.1090472921240675
