date,predicted,actual_consumption,error
2025-09-30,3538544.279302472,,
2025-10-01,3540829.9912333908,,
2025-10-02,3499463.4465317843,,
2025-10-03,3054893.7522765347,,
2025-10-04,2807913.1067525726,,
2025-10-05,3341619.232884406,,
2025-10-06,3537324.303297289,,
