Model,Test_RMSE,Test_MAE,Test_R2,Overfitting,CV_RMSE
GradientBoosting,478.6509222715712,347.1344554514446,0.9954996096436408,0.0025009973902937466,446.38756545177637
RandomForest,566.7590509637745,429.0181114621062,0.993690291235732,0.003923524594797501,614.0825796527511
XGBoost,566.9515250830641,429.70660129892696,0.9936860048926985,0.0026753301977909816,548.3803666050969
Ridge,583.3519737605658,441.9385842945186,0.9933154261056054,0.0024368643120855626,567.648749400031
