Model,Test_RMSE,Test_MAE,Test_R2,Overfitting,CV_RMSE
RandomForest,6360.527083107634,5491.33201907526,0.20510587415977588,0.09167464262848735,7536.689932082659
GradientBoosting,6453.892783606925,5552.503492633279,0.18159821501991513,0.09441243770380625,7716.950180351992
Ridge,6466.977010927907,5654.124599237338,0.17827649590152184,0.04312967839157544,7507.796772572439
XGBoost,6507.159638721966,5593.981103033658,0.16803319624663793,0.10625507967093084,7537.609797182308
