feature,importance
Weekday_avg,0.17724336288336356
Lag_7days,0.16526583412890222
Lag_1day,0.13648909262656977
Lag_14days,0.13101273044075082
Wochentag,0.12185579960990026
IstArbeitstag,0.08885648047931946
Rolling_7d_mean,0.0790907606566342
Rolling_14d_mean,0.05251493926171716
IstSonntag,0.031222016150017094
Monat,0.012004950902357767
Quartal,0.004444032860467792
