Model,Test_RMSE,Test_MAE,Test_R2,CV_RMSE,CV_Std
GradientBoosting,339.45834718262336,239.37899548310537,0.9974785414980655,330.0519032203921,16.359327291762487
XGBoost,342.628383306786,243.35154162674255,0.9974312282621141,336.8104122559133,18.83881934755725
LightGBM,343.1183708061395,243.0324656280016,0.9974238758879329,336.86801470164744,19.52610925188934
RandomForest,343.70980678229256,243.91244578460226,0.9974149872609145,393.6584575652976,90.19969815455616
ElasticNet,391.5290233163807,275.8689484126356,0.996645662461901,383.0703605291599,15.913711696052086
CatBoost,396.23964139621734,291.54459071521273,0.9965644625726886,420.9102587426761,33.59866664387682
Ridge,973.1964770442105,324.4237661574864,0.9792756987517068,394.7925447797306,18.99349966768317
